sku,_attribute_set,_type,_category,_product_websites,color,created_at,c_rozmiar,description,has_options,name,options_container,price,required_options,short_description,status,tax_class_id,updated_at,url_key,url_path,visibility,weight,qty,use_config_min_qty,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,use_config_enable_qty_inc,_super_products_sku,_super_attribute_code,_super_attribute_option,image
18548,Default,configurable,,base,черный,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ черный 62009-1",,124.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/3fb401b5fe5e9e8d10c2f08593902ecf.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18547,Default,configurable,,base,черный,,S,"Приспособленное платье с серебряным топом.",1,"SOKY SOKA ПЛАТЬЕ черный 62008-1",,136.00,,"Приспособленное платье с серебряным топом.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/e7de7d10d040ce5fc5c493631166eb2c.jpg
,,,,,,,M,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18546,Default,configurable,,base,черный,,S,"Узкое платье для длинных рукавов.",1,"SOKY SOKA ПЛАТЬЕ черный 62007-3",,136.00,,"Узкое платье для длинных рукавов.",1,0,,,,4,,3,1,1,1,1,1,0,1,1,1,1,,,,/305150cdfbf7a4250b1560ba98c37232.jpg
,,,,,,,M,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18545,Default,configurable,,base,зеленый,,S,"Узкое платье для длинных рукавов.",1,"SOKY SOKA ПЛАТЬЕ зеленый62007-2",,136.00,,"Узкое платье для длинных рукавов.",1,0,,,,4,,3,1,1,1,1,1,0,1,1,1,1,,,,/d2646ed30e219e66ecb1f5f704ea65bd.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18544,Default,configurable,,base,бежевый,,S,"Узкое платье для длинных рукавов.",1,"SOKY SOKA ПЛАТЬЕ бежевый 62007-1",,136.00,,"Узкое платье для длинных рукавов.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/684e093ff15f929f7b05f7e9c3ef5f41.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18542,Default,configurable,,base,черный,,S,"Платье с длинными рукавами с открытыми плечами.",1,"SOKY SOKA ПЛАТЬЕ черный 62005-1",,76.00,,"Платье с длинными рукавами с открытыми плечами.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/9a7c9de3601970082da257b52b0e6b91.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18541,Default,configurable,,base,ЗОЛОТО,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ ЗОЛОТО 62004-2",,209.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/7cee7ad23b7d16c4881e1dc1d0ce0c47.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18540,Default,configurable,,base,черный,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ черный 62004-1",,209.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/bdc049ad1fdf0f947ffba5d5d7d3d416.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18539,Default,configurable,,base,"зеленый в бутылках",,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ зеленый в бутылках 62003-4",,209.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/751b52a4a8bb369b1988e4ceb946a92d.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18538,Default,configurable,,base,обнаженный,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ обнаженный 62003-3",,209.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/aeb7ee5ae3b609881636965f7b7826e8.jpg
,,,,,,,M,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18537,Default,configurable,,base,темно-синий,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ темно-синий 62003-2",,209.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/8eb690c03ddac33974201c01fdae05d0.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18536,Default,configurable,,base,черный,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ черный 62003-1",,209.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/67774788d0fced3b6571ce904241fb3b.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18535,Default,configurable,,base,черный-бежевый,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ черный-бежевый 62002-2",,159.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/2a494f34a71a157a1c9a5ce3a5585d80.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18534,Default,configurable,,base,черный,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ черный 62002-1",,159.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/82a8f07c475b34203c373b92c1c865d0.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18530,Default,configurable,,base,черный,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ черный 62001-1",,209.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/9676070a66ec4455e11249114927948f.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
18529,Default,configurable,,base,черный,,Uniwersalny,"Платье со свободным вырезом, с капюшоном. Модный принт.",1,"ПЛАТЬЕ ИЗ СВЯЗИ / РУБАШКА черный 61006-1",,64.00,,"Платье со свободным вырезом, с капюшоном. Модный принт.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/011b0bd3221887c175950ddbae08d578.jpg
18528,Default,configurable,,base,белый,,Uniwersalny,"НО ПЕРВЫЙ КОФЕ Блузка с короткими рукавами.",1,"T-SHIRT BUT FIRST COFFE белый 61005-1",,32.00,,"НО ПЕРВЫЙ КОФЕ Блузка с короткими рукавами.",1,0,,,,4,,5,1,1,1,1,1,0,1,1,1,1,,,,/257f8d8b12c01a3b0a1dd943b760f494.jpg
18527,Default,configurable,,base,черный,,Uniwersalny,"Нежное, длинное тюлевое платье.",1,"Женское платье черный 61004-1",,86.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,5,1,1,1,1,1,0,1,1,1,1,,,,/736cc0fb039b1a4a07c8e6fb17fe3f8b.jpg
18526,Default,configurable,,base,леопард,,S,"Нежное тюлевое платье.",1,"DANITY ПЛАТЬЕ  леопард 61003-2",,184.00,,"Нежное тюлевое платье.",1,0,,,,4,,2,1,1,1,1,1,0,1,1,1,1,,,,/c70d7b2bd0b3b8314a583184615124f1.jpg
,,,,,,,M,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18525,Default,configurable,,base,розовый,,S,"Нежное тюлевое миди-платье.",1,"DANITY ПЛАТЬЕ  розовый 61003-1",,159.00,,"Нежное тюлевое миди-платье.",1,0,,,,4,,3,1,1,1,1,1,0,1,1,1,1,,,,/8131f4ac2f681a6f0920085b08b4bc3d.jpg
,,,,,,,M,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18524,Default,configurable,,base,сливочный,,S,"Нежное тюлевое миди-платье.",1,"DANITY ПЛАТЬЕ сливочный 61002-1",,149.00,,"Нежное тюлевое миди-платье.",1,0,,,,4,,3,1,1,1,1,1,0,1,1,1,1,,,,/68826e56a8c7ae5cc5400e27f42f9018.jpg
,,,,,,,M,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18523,Default,configurable,,base,белый,,S,"Короткое платье.",1,"DANITY ПЛАТЬЕ белый 61001-1",,59.99,,"Короткое платье.",1,0,,,,4,,3,1,1,1,1,1,0,1,1,1,1,,,,/9fd13d01c804c117a7238fa1055763ad.jpg
,,,,,,,M,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18522,Default,configurable,,base,бежевый,,S,"Нежное тюлевое миди-платье.",1,"SOKY SOKA ПЛАТЬЕ бежевый 600017-2",,99.00,,"Нежное тюлевое миди-платье.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/ab82dcf188fde14e635bde83d0c835b7.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18521,Default,configurable,,base,черный-бежевый,,S,"Нежное тюлевое миди-платье.",1,"SOKY SOKA ПЛАТЬЕ черный-бежевый 600017-1",,99.00,,"Нежное тюлевое миди-платье.",1,0,,,,4,,2,1,1,1,1,1,0,1,1,1,1,,,,/8fe85f9289c0a9c18fae61f11dafd4b2.jpg
,,,,,,,M,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18520,Default,configurable,,base,черный-бежевый,,S,"Нежное тюлевое миди-платье.",1,"SOKY SOKA ПЛАТЬЕ черный-бежевый 600016-1",,98.00,,"Нежное тюлевое миди-платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/86db4493bafdbaa11741b445f546a376.jpg
,,,,,,,M,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
18519,Default,configurable,,base,черный,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ черный 600015-1",,189.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/7ce8ef88bf4f6a132e49c8cb5882395f.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
18516,Default,configurable,,base,черный-бежевый,,S,"Нежное тюлевое миди-платье.",1,"SOKY SOKA ПЛАТЬЕ черный-бежевый 600012-2",,98.00,,"Нежное тюлевое миди-платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/4a35bd1ff83b9570b08ede0247ebb505.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18515,Default,configurable,,base,сливочный,,S,"Нежное тюлевое миди-платье.",1,"SOKY SOKA ПЛАТЬЕ сливочный 600012-1",,98.00,,"Нежное тюлевое миди-платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/34a2e73886e3dab329773e639e306c3b.jpg
,,,,,,,M,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18514,Default,configurable,,base,"розовый порошок",,S,"Длинное платье, вечер.",1,"SOKY SOKA ПЛАТЬЕ розовый порошок 600011-2",,179.00,,"Длинное платье, вечер.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/f8ff89eb11a3e49f02d5f3cc5c1875d7.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
18511,Default,configurable,,base,темно-синий,,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/P8l1RXtfPuE?rel=1&amp;autoplay=1""></iframe>",1,"EVA & LOLA ПЛАТЬЕ темно-синий 60010-3",,159.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/P8l1RXtfPuE?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/250d22e553a7330a230b8b74447630b2.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
18510,Default,configurable,,base,"порошок розовый",,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/P8l1RXtfPuE?rel=1&amp;autoplay=1""></iframe>",1,"EVA&LOLA ПЛАТЬЕ порошок розовый 60010-2",,159.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/P8l1RXtfPuE?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,3,1,1,1,1,1,0,1,1,1,1,,,,/1c52a6a3adaef9a6d27b1d5fd9c28419.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18509,Default,configurable,,base,Бургундия,,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/P8l1RXtfPuE?rel=1&amp;autoplay=1""></iframe>",1,"EVA & LOLA ПЛАТЬЕ Бургундия 60010-1",,159.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/P8l1RXtfPuE?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/7b304746b57fdfb1e51e2e102aca5dba.jpg
,,,,,,,M,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18508,Default,configurable,,base,сливочный,,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/lTZpVgPHCdc?rel=1&amp;autoplay=1""></iframe>",1,"EVA & LOLA ПЛАТЬЕ сливочный 60009-4",,189.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/lTZpVgPHCdc?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,3,1,1,1,1,1,0,1,1,1,1,,,,/80be9a76c1ee49b591cc9bfbc0dc4f7b.jpg
,,,,,,,M,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18507,Default,configurable,,base,серый,,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/lTZpVgPHCdc?rel=1&amp;autoplay=1""></iframe>",1,"EVA & LOLA ПЛАТЬЕ серый 60009-3",,189.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/lTZpVgPHCdc?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,2,1,1,1,1,1,0,1,1,1,1,,,,/56f4d36d98d319634fc49a2ce3edfc46.jpg
,,,,,,,M,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18505,Default,configurable,,base,"порошок розовый",,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/lTZpVgPHCdc?rel=1&amp;autoplay=1""></iframe>",1,"EVA&LOLA ПЛАТЬЕ порошок розовый 60009-1",,189.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/lTZpVgPHCdc?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/4b06a839b4cd49ed5f0fe001b888342a.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
18500,Default,configurable,,base,розовый,,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/MC3mC30BCC8?rel=1&amp;autoplay=1""></iframe>",1,"EVA&LOLA ПЛАТЬЕ  розовый 60007-3",,179.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/MC3mC30BCC8?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/481a75cd11bb9250c3551bbf2b18e217.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18499,Default,configurable,,base,темно-синий,,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/MC3mC30BCC8?rel=1&amp;autoplay=1""></iframe>",1,"EVA & LOLA ПЛАТЬЕ темно-синий 60007-2",,179.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/MC3mC30BCC8?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/5805e1defbd0df03b3bd9f42e30398c8.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
18498,Default,configurable,,base,светло-фиолетовый,,S,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/MC3mC30BCC8?rel=1&amp;autoplay=1""></iframe>",1,"EVA & LOLA ПЛАТЬЕ светло-фиолетовый 60007-1",,179.00,,"Длинное вечернее платье.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/MC3mC30BCC8?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/c42398e0c509121625da7aaa63ac57c4.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
18497,Default,configurable,,base,ЧЕРНЫЙ,,S,"Длинное цветочное платье с вырезом.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/3&o?rel=1&amp;autoplay=1""></iframe>",1,"EVA & LOLA ПЛАТЬЕ ЧЕРНЫЙ 60006-2",,159.00,,"Длинное цветочное платье с вырезом.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/3&o?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,4,1,1,1,1,1,0,1,1,1,1,,,,/25dbd5f38d2ad7f99e0c753c411d5b7b.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
18496,Default,configurable,,base,белый,,S,"Длинное цветочное платье с вырезом.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/tl6rr_r98lQ?rel=1&amp;autoplay=1""></iframe>",1,"EVA & LOLA ПЛАТЬЕ белый 60006-1",,159.00,,"Длинное цветочное платье с вырезом.<br /><iframe width=""400"" frameborder=""no"" src=""http://www.youtube.com/embed/tl6rr_r98lQ?rel=1&amp;autoplay=1""></iframe>",1,0,,,,4,,3,1,1,1,1,1,0,1,1,1,1,,,,/f37143891bc3c8ca5e501d5b4ffda047.jpg
